epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,998.593,2.05164,6.38079,3.56347,0.23991,0.40498,0.42901,0.36194,0.18965,1.74706,4.66752,3.09451,0.17124,0.000333036,0.000333036,0.00700268
2,1992.34,1.94703,5.08511,3.2861,0.22361,0.44518,0.44756,0.40186,0.21845,1.67427,4.49112,3.06272,0.1731,0.000654375,0.000654375,0.00399068
3,2977.66,1.90733,4.86933,3.25077,0.21745,0.45725,0.44577,0.42138,0.23351,1.65635,4.44634,3.01166,0.1435,0.000963713,0.000963713,0.000966687
4,3961.17,1.85613,4.65003,3.19185,0.20945,0.49082,0.50194,0.48067,0.27476,1.57742,4.13386,2.91346,0.15675,0.000946,0.000946,0.000946
5,4958.21,1.81339,4.42976,3.13741,0.20086,0.50678,0.51081,0.51347,0.28878,1.56375,3.83346,2.88613,0.14009,0.000928,0.000928,0.000928
6,5915.74,1.7798,4.27529,3.10438,0.19522,0.54416,0.50617,0.51444,0.29649,1.51676,4.16786,2.83001,0.14934,0.00091,0.00091,0.00091
7,6874.99,1.76426,4.15952,3.08223,0.19135,0.5602,0.56342,0.55275,0.31624,1.49537,3.79681,2.81483,0.139,0.000892,0.000892,0.000892
8,7849.45,1.72948,4.04129,3.04858,0.18973,0.58144,0.55891,0.56943,0.33673,1.49227,3.53506,2.78273,0.15372,0.000874,0.000874,0.000874
9,8818.2,1.70433,3.9313,3.02532,0.18262,0.59397,0.56806,0.57956,0.33996,1.48237,3.665,2.76981,0.14691,0.000856,0.000856,0.000856
10,9779.21,1.69472,3.87921,3.01912,0.18289,0.5939,0.58148,0.58095,0.3481,1.44899,3.72874,2.72273,0.1464,0.000838,0.000838,0.000838
11,10744.1,1.67479,3.80009,2.97405,0.17776,0.59611,0.61163,0.5967,0.35687,1.40925,3.55649,2.69263,0.13466,0.00082,0.00082,0.00082
12,11725.1,1.67597,3.75082,2.99357,0.18061,0.64629,0.57991,0.59898,0.36392,1.41515,3.49048,2.7194,0.14375,0.000802,0.000802,0.000802
13,12692.7,1.65418,3.66446,2.97753,0.17895,0.64837,0.60744,0.61296,0.37638,1.37476,3.42346,2.65155,0.13471,0.000784,0.000784,0.000784
14,13668.4,1.64926,3.62079,2.96777,0.17527,0.6723,0.60027,0.63056,0.38751,1.38388,3.40574,2.67532,0.13649,0.000766,0.000766,0.000766
15,14616.2,1.62996,3.53582,2.93345,0.17176,0.69656,0.59889,0.63318,0.39014,1.37367,3.31756,2.65311,0.13081,0.000748,0.000748,0.000748
16,15561.1,1.62955,3.54296,2.93706,0.17137,0.68284,0.61579,0.64316,0.3951,1.37465,3.15931,2.63744,0.14083,0.00073,0.00073,0.00073
17,16510.2,1.62392,3.48814,2.92541,0.17295,0.67264,0.63587,0.64172,0.40126,1.35044,3.269,2.60434,0.1249,0.000712,0.000712,0.000712
18,17459.7,1.60024,3.42731,2.88903,0.16856,0.66897,0.65397,0.64849,0.40427,1.34492,3.22358,2.60669,0.13101,0.000694,0.000694,0.000694
19,18400.5,1.59183,3.37383,2.88281,0.16763,0.69211,0.63217,0.6518,0.40954,1.3305,3.3572,2.58903,0.13539,0.000676,0.000676,0.000676
20,19352,1.58436,3.34728,2.87469,0.16571,0.67868,0.64689,0.66362,0.41748,1.33197,3.15534,2.58897,0.13669,0.000658,0.000658,0.000658
21,20293.5,1.57722,3.31608,2.86485,0.16369,0.68159,0.64952,0.65919,0.42318,1.30147,3.07718,2.56175,0.13216,0.00064,0.00064,0.00064
