epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
22,21243.5,1.56408,3.27052,2.85776,0.16121,0.71725,0.65123,0.6691,0.42859,1.30576,3.18428,2.57008,0.12394,0.000622,0.000622,0.000622
23,22190.8,1.55312,3.22389,2.842,0.16133,0.71571,0.64626,0.67091,0.43222,1.30586,3.13031,2.54602,0.12523,0.000604,0.000604,0.000604
24,23145.7,1.55885,3.24238,2.8457,0.16175,0.70272,0.66635,0.68335,0.44049,1.2947,3.09095,2.54927,0.12138,0.000586,0.000586,0.000586
25,24127.8,1.54928,3.20782,2.84012,0.15855,0.70966,0.674,0.68272,0.4384,1.28755,3.02388,2.533,0.12038,0.000568,0.000568,0.000568
26,25082.1,1.53304,3.14805,2.80946,0.15716,0.72839,0.64044,0.67784,0.44136,1.27601,3.08447,2.52473,0.12273,0.00055,0.00055,0.00055
27,26032.2,1.53526,3.12674,2.81585,0.1589,0.72689,0.66598,0.68687,0.44764,1.26721,3.02176,2.51285,0.12145,0.000532,0.000532,0.000532
28,26978.3,1.51627,3.05356,2.79586,0.15793,0.72303,0.68315,0.69632,0.44985,1.26964,3.00305,2.51569,0.11906,0.000514,0.000514,0.000514
29,27914.7,1.51999,3.08274,2.80082,0.15476,0.7196,0.68214,0.69362,0.45268,1.26167,3.02794,2.5078,0.11885,0.000496,0.000496,0.000496
30,28846,1.50948,3.02857,2.78072,0.15484,0.72327,0.68729,0.70394,0.46017,1.25992,3.07658,2.50858,0.1158,0.000478,0.000478,0.000478
31,29774.9,1.50315,2.99192,2.77849,0.15406,0.72411,0.68498,0.6985,0.45778,1.25018,3.04517,2.49694,0.11641,0.00046,0.00046,0.00046
32,30712.4,1.49555,2.97216,2.76574,0.15391,0.73715,0.68642,0.70097,0.46011,1.24347,3.03801,2.48165,0.11952,0.000442,0.000442,0.000442
33,31648.1,1.49525,2.95702,2.76105,0.15233,0.73559,0.68159,0.7083,0.46858,1.2412,3.02533,2.47524,0.11606,0.000424,0.000424,0.000424
34,32581.3,1.49134,2.93954,2.75521,0.14977,0.71598,0.69886,0.70279,0.46767,1.23761,2.99004,2.47715,0.11805,0.000406,0.000406,0.000406
35,33511.4,1.4784,2.88828,2.74448,0.14802,0.71271,0.69454,0.70267,0.46798,1.23573,3.06152,2.47141,0.11656,0.000388,0.000388,0.000388
36,34449.7,1.4704,2.86439,2.7228,0.14766,0.73674,0.68713,0.70824,0.4733,1.23323,3.0692,2.46455,0.11783,0.00037,0.00037,0.00037
37,35390.1,1.45729,2.84232,2.70894,0.14795,0.74871,0.68753,0.70729,0.47227,1.22375,3.07451,2.45849,0.11473,0.000352,0.000352,0.000352
38,36327.2,1.4563,2.80894,2.70863,0.14656,0.73077,0.69496,0.70916,0.47358,1.22338,3.05879,2.45749,0.11474,0.000334,0.000334,0.000334
39,37267.7,1.44366,2.78788,2.70873,0.14737,0.7348,0.69149,0.71122,0.47376,1.2216,2.98315,2.44907,0.11515,0.000316,0.000316,0.000316
40,38207.9,1.4375,2.75999,2.68857,0.14344,0.74931,0.68615,0.70907,0.47314,1.21764,3.04177,2.4468,0.11461,0.000298,0.000298,0.000298
41,39062.5,1.25038,1.94641,2.48911,0.12874,0.73602,0.69318,0.71118,0.47751,1.21154,3.03417,2.44557,0.11361,0.00028,0.00028,0.00028
42,39909,1.23499,1.88826,2.47086,0.12774,0.75721,0.6821,0.7132,0.4784,1.20748,3.07372,2.44173,0.11262,0.000262,0.000262,0.000262
43,40758.5,1.222,1.84723,2.45783,0.127,0.7615,0.67604,0.71289,0.48225,1.20352,3.07306,2.4373,0.11123,0.000244,0.000244,0.000244
44,41602.2,1.20988,1.81774,2.45041,0.12556,0.7512,0.68984,0.71627,0.48278,1.1995,3.06367,2.43206,0.11121,0.000226,0.000226,0.000226
45,42456.7,1.20052,1.78412,2.43276,0.12369,0.75211,0.69222,0.71536,0.48367,1.19798,3.05419,2.4329,0.11111,0.000208,0.000208,0.000208
46,43303.2,1.18753,1.7426,2.40953,0.12199,0.74914,0.69447,0.71382,0.48314,1.19623,3.04124,2.43075,0.11168,0.00019,0.00019,0.00019
47,44155.7,1.17707,1.72241,2.39621,0.12133,0.74023,0.70587,0.71394,0.48242,1.19335,3.04203,2.42949,0.11189,0.000172,0.000172,0.000172
48,45001.9,1.16908,1.67464,2.39252,0.12101,0.75656,0.68967,0.70983,0.48168,1.1914,3.03497,2.4269,0.11111,0.000154,0.000154,0.000154
49,45842,1.15736,1.65081,2.37668,0.11812,0.75994,0.68417,0.70925,0.48117,1.18905,3.02587,2.42427,0.11068,0.000136,0.000136,0.000136
50,46681.5,1.15237,1.62613,2.36497,0.11791,0.75162,0.68979,0.70903,0.48171,1.18753,3.02796,2.42195,0.11033,0.000118,0.000118,0.000118
