epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
27,15547.7,1.42467,3.08614,0.05988,0.12857,0.72011,0.69489,0.70386,0.47178,1.11675,2.32434,0.06528,0.09462,0.0144156,0.0048052,0.0144156,0.0048052,0.0144156,0.0048052,0.0144156,0.0048052
28,17419,1.4278,3.09542,0.05979,0.12815,0.72559,0.69493,0.70654,0.47809,1.12316,2.29294,0.0664,0.09523,0.0138162,0.0046054,0.0138162,0.0046054,0.0138162,0.0046054,0.0138162,0.0046054
29,19289.1,1.42844,3.14187,0.06027,0.12707,0.7338,0.69847,0.712,0.48647,1.10779,2.2441,0.06469,0.09377,0.0132168,0.0044056,0.0132168,0.0044056,0.0132168,0.0044056,0.0132168,0.0044056
30,21160.3,1.41878,3.0864,0.06019,0.12679,0.75647,0.69264,0.72161,0.48872,1.11246,2.20259,0.06545,0.09489,0.0126174,0.0042058,0.0126174,0.0042058,0.0126174,0.0042058,0.0126174,0.0042058
31,23057.5,1.41885,3.04951,0.05941,0.12668,0.75536,0.69201,0.72381,0.49108,1.11107,2.2001,0.06537,0.09117,0.012018,0.004006,0.012018,0.004006,0.012018,0.004006,0.012018,0.004006
32,2012.74,1.37372,2.81792,0.05976,0.12168,0.74513,0.7016,0.72337,0.49032,1.10196,2.2031,0.06484,0.09012,0.0114186,0.0038062,0.0114186,0.0038062,0.0114186,0.0038062,0.0114186,0.0038062
33,3886.12,1.37345,2.80096,0.05771,0.12092,0.74085,0.71336,0.72676,0.49444,1.09341,2.23829,0.0642,0.08881,0.0108192,0.0036064,0.0108192,0.0036064,0.0108192,0.0036064,0.0108192,0.0036064
34,5746.06,1.36488,2.84047,0.05905,0.12082,0.75202,0.70567,0.72151,0.49305,1.08762,2.2061,0.06437,0.08889,0.0102198,0.0034066,0.0102198,0.0034066,0.0102198,0.0034066,0.0102198,0.0034066
35,7598.55,1.35372,2.7707,0.06045,0.11782,0.74763,0.7019,0.7269,0.49702,1.08772,2.19063,0.06436,0.09066,0.0096204,0.0032068,0.0096204,0.0032068,0.0096204,0.0032068,0.0096204,0.0032068
36,9474.02,1.35601,2.77223,0.05951,0.11879,0.76576,0.69632,0.73201,0.4997,1.08015,2.2175,0.06406,0.09042,0.009021,0.003007,0.009021,0.003007,0.009021,0.003007,0.009021,0.003007
37,11329.9,1.34763,2.70594,0.0578,0.11996,0.76543,0.71389,0.72938,0.50054,1.07555,2.23975,0.06412,0.08955,0.0084216,0.0028072,0.0084216,0.0028072,0.0084216,0.0028072,0.0084216,0.0028072
38,13162.5,1.33649,2.65487,0.05844,0.11483,0.7709,0.67469,0.72442,0.49961,1.07341,2.23448,0.0638,0.08946,0.0078222,0.0026074,0.0078222,0.0026074,0.0078222,0.0026074,0.0078222,0.0026074
39,14980,1.32566,2.60805,0.05927,0.11372,0.76754,0.67812,0.72644,0.5056,1.06933,2.21538,0.06383,0.08887,0.0072228,0.0024076,0.0072228,0.0024076,0.0072228,0.0024076,0.0072228,0.0024076
40,16826.4,1.32199,2.59864,0.05918,0.11295,0.76254,0.69327,0.73055,0.50542,1.07496,2.21354,0.06409,0.08943,0.0066234,0.0022078,0.0066234,0.0022078,0.0066234,0.0022078,0.0066234,0.0022078
41,18290.6,1.18061,1.69073,0.07257,0.10792,0.78238,0.68556,0.73254,0.50872,1.06807,2.20104,0.06395,0.08851,0.006024,0.002008,0.006024,0.002008,0.006024,0.002008,0.006024,0.002008
42,19728.8,1.15913,1.62024,0.07254,0.10727,0.76234,0.70426,0.73164,0.50793,1.06465,2.17721,0.06378,0.08868,0.0054246,0.0018082,0.0054246,0.0018082,0.0054246,0.0018082,0.0054246,0.0018082
43,21174,1.1508,1.55886,0.07127,0.10602,0.75951,0.70808,0.73419,0.51125,1.05927,2.16725,0.06349,0.08763,0.0048252,0.0016084,0.0048252,0.0016084,0.0048252,0.0016084,0.0048252,0.0016084
44,22605.9,1.13018,1.50264,0.07304,0.10448,0.76768,0.71077,0.73529,0.51328,1.05337,2.1538,0.0631,0.08684,0.0042258,0.0014086,0.0042258,0.0014086,0.0042258,0.0014086,0.0042258,0.0014086
45,24047.9,1.12137,1.45752,0.0715,0.10347,0.75486,0.7225,0.73588,0.51413,1.04978,2.14559,0.06293,0.08555,0.0036264,0.0012088,0.0036264,0.0012088,0.0036264,0.0012088,0.0036264,0.0012088
46,2027.77,1.27456,2.39402,0.05827,0.10814,0.76096,0.71725,0.73318,0.51295,1.05154,2.1484,0.06301,0.08563,0.003027,0.001009,0.003027,0.001009,0.003027,0.001009,0.003027,0.001009
47,3886.76,1.26358,2.34419,0.05684,0.1067,0.75966,0.7183,0.73296,0.51289,1.0535,2.15157,0.06291,0.08571,0.0024276,0.0008092,0.0024276,0.0008092,0.0024276,0.0008092,0.0024276,0.0008092
48,5751.66,1.25635,2.34959,0.05681,0.10534,0.75616,0.72188,0.73469,0.51266,1.05495,2.16153,0.06286,0.08591,0.0018282,0.0006094,0.0018282,0.0006094,0.0018282,0.0006094,0.0018282,0.0006094
49,7618.75,1.24538,2.29567,0.05734,0.10249,0.75667,0.7198,0.73435,0.51191,1.05358,2.16805,0.06285,0.08566,0.0012288,0.0004096,0.0012288,0.0004096,0.0012288,0.0004096,0.0012288,0.0004096
50,9471.48,1.24851,2.29976,0.05783,0.10315,0.76267,0.71347,0.7333,0.51107,1.05411,2.17004,0.06289,0.08581,0.0006294,0.0002098,0.0006294,0.0002098,0.0006294,0.0002098,0.0006294,0.0002098
