epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,39621.1,1.46461,2.72343,0.08048,0.12734,0.74493,0.66976,0.69942,0.4834,1.1466,2.25468,0.08346,0.08642,0.000334,0.000334,0.000334
39,40646.5,1.45375,2.6975,0.0808,0.12675,0.75894,0.66439,0.69934,0.48522,1.14974,2.23166,0.08342,0.08705,0.000316,0.000316,0.000316
40,41675.6,1.44653,2.65395,0.08016,0.12199,0.75983,0.67232,0.70141,0.49062,1.14095,2.24826,0.08323,0.08789,0.000298,0.000298,0.000298
41,42622.5,1.25279,1.6427,0.09121,0.11069,0.76321,0.67356,0.69926,0.48818,1.13346,2.22948,0.08293,0.08756,0.00028,0.00028,0.00028
42,43564.9,1.23697,1.55996,0.09394,0.10942,0.77862,0.67093,0.70074,0.48923,1.13375,2.25198,0.08294,0.08578,0.000262,0.000262,0.000262
43,44513.2,1.22231,1.52471,0.08921,0.10878,0.75985,0.66936,0.70076,0.4918,1.13024,2.23774,0.08263,0.08376,0.000244,0.000244,0.000244
44,45455.8,1.20785,1.48245,0.09177,0.10772,0.74583,0.69367,0.70299,0.49315,1.1269,2.22972,0.08208,0.08428,0.000226,0.000226,0.000226
45,46400.8,1.19523,1.44851,0.09317,0.10464,0.75335,0.69666,0.70373,0.49464,1.12343,2.22166,0.08235,0.08437,0.000208,0.000208,0.000208
46,47343.1,1.18345,1.41632,0.09143,0.10338,0.75658,0.69402,0.70084,0.49443,1.12245,2.22942,0.08231,0.08419,0.00019,0.00019,0.00019
47,48298,1.17236,1.37725,0.0934,0.10276,0.75121,0.6938,0.69955,0.49371,1.12029,2.23079,0.08191,0.08306,0.000172,0.000172,0.000172
48,49240.9,1.16077,1.34425,0.09125,0.10034,0.75318,0.69201,0.70029,0.49454,1.12174,2.21162,0.08188,0.08298,0.000154,0.000154,0.000154
49,50182.8,1.15274,1.32248,0.09315,0.09725,0.74716,0.68326,0.69635,0.4928,1.12182,2.21717,0.08207,0.08322,0.000136,0.000136,0.000136
50,51115,1.14448,1.28447,0.09058,0.09881,0.76442,0.67473,0.69768,0.49389,1.12135,2.2191,0.08197,0.08311,0.000118,0.000118,0.000118
