epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
21,17282.7,1.49068,1.84636,2.15426,0.15495,0.64057,0.53947,0.55826,0.34918,1.24784,1.34154,1.92256,0.12685,0.00604,0.00604,0.00604
22,18099.6,1.48177,1.83142,2.13987,0.1546,0.64998,0.5726,0.57516,0.3619,1.23445,1.33221,1.90634,0.11515,0.005842,0.005842,0.005842
23,18916.2,1.47611,1.80776,2.13894,0.15315,0.66942,0.54783,0.57441,0.36333,1.22784,1.31125,1.89364,0.1143,0.005644,0.005644,0.005644
24,19737.1,1.48146,1.81672,2.13739,0.15325,0.66393,0.55842,0.5842,0.36759,1.2187,1.33789,1.89051,0.11275,0.005446,0.005446,0.005446
25,20556.4,1.47178,1.78419,2.1278,0.15,0.59692,0.57579,0.59389,0.37772,1.20113,1.30012,1.86206,0.10959,0.005248,0.005248,0.005248
26,21382.9,1.46054,1.77755,2.1225,0.14978,0.67048,0.58154,0.60039,0.37988,1.18391,1.27336,1.86034,0.11215,0.00505,0.00505,0.00505
27,22185.1,1.45244,1.73895,2.10591,0.14995,0.58409,0.60582,0.60126,0.38144,1.19433,1.26066,1.86547,0.11001,0.004852,0.004852,0.004852
28,22989.9,1.44038,1.70954,2.10254,0.14918,0.62474,0.57756,0.59776,0.37949,1.19551,1.24135,1.87911,0.11441,0.004654,0.004654,0.004654
29,23794.7,1.42922,1.69939,2.09094,0.14268,0.61565,0.58287,0.61277,0.39017,1.18836,1.25903,1.85994,0.11335,0.004456,0.004456,0.004456
30,24601.2,1.42239,1.687,2.08478,0.14277,0.61423,0.59017,0.60979,0.39403,1.16571,1.24718,1.8371,0.10756,0.004258,0.004258,0.004258
31,25412.9,1.4164,1.67434,2.07887,0.14234,0.61047,0.58923,0.61193,0.39521,1.17093,1.20784,1.83815,0.10745,0.00406,0.00406,0.00406
32,26223.3,1.40344,1.66246,2.0651,0.14186,0.62802,0.58384,0.61285,0.39243,1.16746,1.19356,1.82882,0.11346,0.003862,0.003862,0.003862
33,27036.7,1.40957,1.65649,2.07151,0.14151,0.62473,0.60036,0.61823,0.40143,1.15834,1.17252,1.81732,0.10958,0.003664,0.003664,0.003664
34,27866.2,1.39425,1.62637,2.05759,0.13851,0.62009,0.59766,0.62168,0.40159,1.14839,1.17444,1.81285,0.10571,0.003466,0.003466,0.003466
35,28670.1,1.3774,1.59863,2.04396,0.13654,0.7059,0.5989,0.62839,0.40519,1.15389,1.16891,1.81485,0.10717,0.003268,0.003268,0.003268
36,29490.1,1.38097,1.59341,2.04171,0.13646,0.71905,0.5877,0.62685,0.408,1.13486,1.16969,1.80999,0.10345,0.00307,0.00307,0.00307
37,30284.4,1.37161,1.58063,2.03206,0.13408,0.63001,0.60125,0.62678,0.41156,1.13396,1.15564,1.8018,0.10485,0.002872,0.002872,0.002872
38,31092.4,1.36655,1.55902,2.02181,0.13363,0.67861,0.57975,0.63013,0.41723,1.13453,1.14855,1.80333,0.10352,0.002674,0.002674,0.002674
39,31910,1.36009,1.56177,2.0185,0.13277,0.65553,0.5967,0.63095,0.41823,1.12567,1.13786,1.78809,0.10387,0.002476,0.002476,0.002476
40,32738.8,1.35587,1.55907,2.02305,0.13125,0.63749,0.61032,0.6354,0.42237,1.12026,1.13063,1.78547,0.10157,0.002278,0.002278,0.002278
41,33490.8,1.16877,1.1315,1.85682,0.11463,0.65797,0.59602,0.6352,0.41705,1.12366,1.12534,1.78395,0.10009,0.00208,0.00208,0.00208
42,34241,1.15528,1.08907,1.83877,0.11141,0.6259,0.6157,0.63419,0.41842,1.10972,1.10424,1.7763,0.09969,0.001882,0.001882,0.001882
43,34986.3,1.13582,1.06833,1.82742,0.1109,0.68937,0.59915,0.63982,0.42133,1.10256,1.10916,1.776,0.09933,0.001684,0.001684,0.001684
44,35734.6,1.12138,1.04362,1.8161,0.10828,0.67356,0.60516,0.64229,0.42406,1.09812,1.09232,1.77112,0.10046,0.001486,0.001486,0.001486
45,36489.9,1.11451,1.03095,1.80367,0.10571,0.65994,0.62169,0.64,0.42549,1.09546,1.09025,1.77146,0.09822,0.001288,0.001288,0.001288
46,37248.4,1.10022,1.01004,1.79416,0.10281,0.66821,0.61684,0.64208,0.4274,1.09656,1.08256,1.77506,0.09868,0.00109,0.00109,0.00109
47,38005.5,1.09397,1.00248,1.79346,0.10181,0.68752,0.60729,0.64469,0.42747,1.09657,1.07646,1.77509,0.09741,0.000892,0.000892,0.000892
48,38775.3,1.07812,0.98891,1.77645,0.09879,0.69238,0.60205,0.64148,0.42827,1.08806,1.08017,1.77044,0.09538,0.000694,0.000694,0.000694
49,39542.6,1.06738,0.96747,1.76042,0.09961,0.692,0.60555,0.64185,0.42782,1.0842,1.07436,1.76578,0.0968,0.000496,0.000496,0.000496
50,40295.8,1.06347,0.94999,1.75037,0.0984,0.65516,0.63476,0.64205,0.42884,1.0812,1.07362,1.76074,0.0973,0.000298,0.000298,0.000298
