epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,863.966,1.95747,3.50259,2.75713,0.24343,0.32494,0.27628,0.26341,0.14732,1.58919,2.70223,2.29723,0.15469,0.0033322,0.0033322,0.0700102
2,1715.13,1.84126,2.7596,2.50008,0.22064,0.39467,0.3537,0.32839,0.1845,1.54879,2.26787,2.2644,0.15823,0.00653356,0.00653356,0.0398782
3,2567.7,1.82238,2.63177,2.46196,0.22043,0.59497,0.32633,0.33485,0.18593,1.52716,2.29435,2.24102,0.13777,0.00960291,0.00960291,0.00961422
4,3421.59,1.80672,2.61195,2.45057,0.21758,0.50608,0.37536,0.36568,0.20506,1.50687,2.16472,2.20341,0.1537,0.009406,0.009406,0.009406
5,4268.37,1.75936,2.48774,2.39969,0.20714,0.54428,0.37599,0.38313,0.21763,1.48966,2.04039,2.16601,0.16134,0.009208,0.009208,0.009208
6,5109.75,1.72942,2.39484,2.38135,0.19928,0.63478,0.38057,0.42059,0.23769,1.48445,1.84,2.17305,0.13938,0.00901,0.00901,0.00901
7,5940.18,1.70107,2.33316,2.34663,0.19477,0.52751,0.45729,0.42514,0.24747,1.41249,1.81934,2.11079,0.13649,0.008812,0.008812,0.008812
8,6756.96,1.67403,2.26053,2.32332,0.18978,0.59855,0.44407,0.45732,0.26195,1.40792,1.81916,2.08701,0.14248,0.008614,0.008614,0.008614
9,7568.91,1.64778,2.21476,2.30514,0.18447,0.59964,0.46055,0.46924,0.26567,1.38192,1.64279,2.06698,0.13555,0.008416,0.008416,0.008416
10,8375.67,1.63177,2.16473,2.27765,0.1793,0.56865,0.48913,0.48082,0.29028,1.368,1.67472,2.05163,0.14338,0.008218,0.008218,0.008218
11,9182.02,1.61434,2.11747,2.2681,0.17891,0.59474,0.47369,0.48463,0.28931,1.35497,1.62673,2.02303,0.12971,0.00802,0.00802,0.00802
12,9984.48,1.59721,2.07887,2.253,0.17453,0.51625,0.47904,0.482,0.28843,1.33609,1.59045,2.02099,0.131,0.007822,0.007822,0.007822
13,10782.3,1.5884,2.05786,2.24732,0.17045,0.56832,0.49039,0.4988,0.30002,1.3265,1.53421,2.00414,0.1227,0.007624,0.007624,0.007624
14,11580,1.56561,2.0037,2.22428,0.17251,0.60416,0.4898,0.5167,0.31343,1.31157,1.52317,1.98913,0.12304,0.007426,0.007426,0.007426
15,12382.6,1.55645,1.98316,2.21418,0.16935,0.61931,0.52258,0.53886,0.33147,1.3029,1.51992,1.9703,0.13362,0.007228,0.007228,0.007228
16,13191,1.54857,1.97584,2.20446,0.16358,0.61302,0.52091,0.53252,0.32389,1.29968,1.45982,1.96899,0.12309,0.00703,0.00703,0.00703
17,14005.5,1.54537,1.95123,2.20574,0.16205,0.6462,0.53204,0.5492,0.33892,1.24253,1.45641,1.92186,0.11432,0.006832,0.006832,0.006832
18,14818.5,1.52781,1.93288,2.19168,0.16151,0.53736,0.53836,0.54637,0.34117,1.2556,1.42719,1.9358,0.11419,0.006634,0.006634,0.006634
19,15630.5,1.51751,1.89455,2.18074,0.16175,0.64702,0.54642,0.5507,0.34328,1.24658,1.40525,1.9265,0.11892,0.006436,0.006436,0.006436
20,16456.6,1.51091,1.88009,2.17398,0.16087,0.62953,0.5498,0.57423,0.35756,1.23864,1.3806,1.91092,0.1211,0.006238,0.006238,0.006238
