epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
31,1165.68,1.39097,3.0605,2.72408,0.14873,0.72187,0.68924,0.71193,0.46843,1.1451,3.32323,2.44502,0.11847,0.004006,0.004006,0.004006
32,2360,1.38481,3.04458,2.72187,0.14789,0.72499,0.69464,0.71075,0.47071,1.14108,3.24163,2.44097,0.11699,0.0038062,0.0038062,0.0038062
33,3543.53,1.37956,3.00712,2.71349,0.14746,0.71425,0.7059,0.71579,0.4727,1.13823,3.18171,2.43782,0.11721,0.0036064,0.0036064,0.0036064
34,4726.56,1.36647,2.95649,2.68991,0.14413,0.71555,0.69625,0.71398,0.47134,1.13754,3.23742,2.42898,0.11717,0.0034066,0.0034066,0.0034066
35,5910.51,1.36672,2.963,2.70298,0.14373,0.7204,0.69847,0.71267,0.47122,1.13316,3.23294,2.42897,0.11634,0.0032068,0.0032068,0.0032068
36,7101.65,1.35432,2.90219,2.67482,0.14431,0.73315,0.69132,0.71198,0.47435,1.13194,3.21486,2.42979,0.1154,0.003007,0.003007,0.003007
37,8290.78,1.34914,2.87611,2.66634,0.14243,0.72743,0.70048,0.71295,0.47722,1.12878,3.2002,2.42603,0.11524,0.0028072,0.0028072,0.0028072
38,9446.16,1.33799,2.84632,2.66152,0.13952,0.72574,0.70758,0.71259,0.47726,1.1268,3.19124,2.42345,0.11465,0.0026074,0.0026074,0.0026074
39,10617.1,1.33094,2.82727,2.65613,0.13783,0.72824,0.70506,0.71286,0.4775,1.1245,3.15357,2.42126,0.11392,0.0024076,0.0024076,0.0024076
40,11795.7,1.32347,2.78391,2.63115,0.1359,0.73914,0.6945,0.71348,0.47822,1.12214,3.12477,2.41578,0.11357,0.0022078,0.0022078,0.0022078
41,12704.2,1.18193,2.04233,2.50357,0.13246,0.74124,0.70449,0.71657,0.47994,1.11611,3.00573,2.40903,0.11213,0.002008,0.002008,0.002008
42,13597.5,1.16582,1.97122,2.48801,0.12977,0.74635,0.70257,0.71858,0.48084,1.11221,2.92981,2.40588,0.1118,0.0018082,0.0018082,0.0018082
43,14491.8,1.15294,1.92189,2.4666,0.12911,0.75235,0.70186,0.71698,0.48184,1.10823,2.88447,2.40182,0.11215,0.0016084,0.0016084,0.0016084
44,15397.7,1.14308,1.88306,2.45364,0.12631,0.7526,0.69846,0.71747,0.48172,1.10464,2.86244,2.40005,0.11214,0.0014086,0.0014086,0.0014086
45,16292.6,1.13082,1.84442,2.43215,0.1252,0.74731,0.69807,0.71629,0.48223,1.10278,2.84107,2.40047,0.11165,0.0012088,0.0012088,0.0012088
46,17195.7,1.11689,1.79551,2.42604,0.12187,0.75086,0.69899,0.71513,0.48363,1.10017,2.82806,2.40011,0.11118,0.001009,0.001009,0.001009
47,1160.45,1.28576,2.64517,2.58982,0.13359,0.74649,0.70108,0.71515,0.48424,1.0997,2.85147,2.39965,0.11136,0.0008092,0.0008092,0.0008092
48,2310.59,1.26951,2.58645,2.57323,0.13052,0.74856,0.69973,0.71623,0.48553,1.09883,2.86955,2.39809,0.1111,0.0006094,0.0006094,0.0006094
49,3452.14,1.26346,2.55244,2.56258,0.12954,0.73928,0.70691,0.71841,0.48573,1.09945,2.88208,2.39823,0.11084,0.0004096,0.0004096,0.0004096
50,4595.7,1.24989,2.50623,2.54093,0.12643,0.75872,0.6935,0.71667,0.48573,1.09995,2.89177,2.39752,0.11062,0.0002098,0.0002098,0.0002098
